'District name','City','County name'
'Aberdeen School District','Aberdeen','Grays Harbor'
'Adna School District','Adna','Lewis'
'Almira School District','Almira','Lincoln'
'Anacortes School District','Anacortes','Skagit'
'Arlington School District','Arlington','Snohomish'
'Asotin-Anatone School District','Asotin','Asotin'
'Auburn School District','Auburn','King'
'Bainbridge Island School District','Bainbridge Island','Kitsap'
'Bates Technical College','Tacoma','Pierce'
'Battle Ground School District','Battle Ground','Clark'
'Bellevue School District','Bellevue','King'
'Bellingham Public Schools','Bellingham','Whatcom'
'Benge School District','Benge','Adams'
'Bethel School District','Spanaway','Pierce'
'Bickleton School District','Bickleton','Klickitat'
'Blaine School District','Blaine','Whatcom'
'Boistfort School District','Curtis','Lewis'
'Bremerton School District','Bremerton','Kitsap'
'Brewster School District','Brewster','Okanogan'
'Bridgeport School District','Bridgeport','Douglas'
'Brinnon School District','Brinnon','Jefferson'
'Burlington-Edison School District','Burlington','Skagit'
'Camas School District','Camas','Clark'
'Cape Flattery School District','Sekiu','Clallam'
'Carbonado School District','Carbonado','Pierce'
'Cascade School District','Leavenworth','Chelan'
'Cashmere School District','Cashmere','Chelan'
'Castle Rock School District','Castle Rock','Cowlitz'
'Centerville School District','Centerville','Klickitat'
'Central Kitsap School District','Silverdale','Kitsap'
'Central Valley School District','Greenacres','Spokane'
'Centralia College','Centralia','Lewis'
'Centralia School District','Centralia','Lewis'
'Chehalis School District','Chehalis','Lewis'
'Cheney School District','Cheney','Spokane'
'Chewelah School District','Chewelah','Stevens'
'Chief Leschi Schools','Puyallup','Pierce'
'Chimacum School District','Chimacum','Jefferson'
'Clarkston School District','Clarkston','Asotin'
'Cle Elum-Roslyn School District','Cle Elum','Kittitas'
'Clover Park School District','Lakewood','Pierce'
'Clover Park Technical College','Lakewood','Pierce'
'Colfax School District','Colfax','Whitman'
'College Place School District','College Place','Walla Walla'
'Colton School District','Colton','Whitman'
'Columbia (Stevens) School District','Hunters','Stevens'
'Columbia (Walla Walla) School District','Burbank','Walla Walla'
'Colville School District','Colville','Stevens'
'Community Colleges Of Spokane','Spokane','Spokane'
'Concrete School District','Concrete','Skagit'
'Conway School District','Mount Vernon','Skagit'
'Cosmopolis School District','Cosmopolis','Grays Harbor'
'Coulee-Hartline School District','Coulee City','Grant'
'Coupeville School District','Coupeville','Island'
'Crescent School District','Joyce','Clallam'
'Creston School District','Creston','Lincoln'
'Curlew School District','Curlew','Ferry'
'Cusick School District','Cusick','Pend Oreille'
'Damman School District','Ellensburg','Kittitas'
'Darrington School District','Darrington','Snohomish'
'Davenport School District','Davenport','Lincoln'
'Dayton School District','Dayton','Columbia'
'Deer Park School District','Deer Park','Spokane'
'Dieringer School District','Lake Tapps','Pierce'
'Dixie School District','Dixie','Walla Walla'
'East Valley School District (Spokane)','Spokane','Spokane'
'East Valley School District (Yakima)','Yakima','Yakima'
'Eastmont School District','East Wenatchee','Douglas'
'Easton School District','Easton','Kittitas'
'Eatonville School District','Eatonville','Pierce'
'Edmonds School District','Lynnwood','Snohomish'
'Educational Service District 113','Tumwater','Thurston'
'Ellensburg School District','Ellensburg','Kittitas'
'Elma School District','Elma','Grays Harbor'
'Endicott School District','Endicott','Whitman'
'Entiat School District','Entiat','Chelan'
'Enumclaw School District','Enumclaw','King'
'Ephrata School District','Ephrata','Grant'
'Evaline School District','Winlock','Lewis'
'Everett Community College','Everett','Snohomish'
'Everett School District','Everett','Snohomish'
'Evergreen School District (Clark)','Vancouver','Clark'
'Evergreen School District (Stevens)','Gifford','Stevens'
'Federal Way School District','Federal Way','King'
'Ferndale School District','Ferndale','Whatcom'
'Fife School District','Tacoma','Pierce'
'Finley School District','Kennewick','Benton'
'Franklin Pierce School District','Tacoma','Pierce'
'Freeman School District','Rockford','Spokane'
'Garfield School District','Garfield','Whitman'
'Glenwood School District','Glenwood','Klickitat'
'Goldendale School District','Goldendale','Klickitat'
'Grand Coulee Dam School District','Coulee Dam','Douglas'
'Grandview School District','Grandview','Yakima'
'Granger School District','Granger','Yakima'
'Granite Falls School District','Granite Falls','Snohomish'
'Grapeview School District','Grapeview','Mason'
'Great Northern School District','Spokane','Spokane'
'Green Mountain School District','Woodland','Clark'
'Green River Community College','Auburn','King'
'Griffin School District','Olympia','Thurston'
'Harrington School District','Harrington','Lincoln'
'Highland School District','Cowiche','Yakima'
'Highline School District','Burien','King'
'Hockinson School District','Brush Prairie','Clark'
'Hood Canal School District','Shelton','Mason'
'Hoquiam School District','Hoquiam','Grays Harbor'
'Inchelium School District','Inchelium','Ferry'
'Index School District','Index','Snohomish'
'Issaquah School District','Issaquah','King'
'Kahlotus School District','Kahlotus','Franklin'
'Kalama School District','Kalama','Cowlitz'
'Keller School District','Keller','Ferry'
